spectrum	rt	pref_value
Challenge-020	1.964	-0.2060417360274318
Challenge-002	2.371	-0.35838784337309626
Challenge-007	2.379	0.04006627891932357
Challenge-023	5.838	-0.009121263224248222
Challenge-036	5.946	-0.07554917641552406
Challenge-076	5.97	-0.05522964460963564
Challenge-022	7.17	-0.04123042795258047
Challenge-025	7.247	-0.064562451311728
Challenge-009	7.75	-0.10030792102882002
Challenge-067	8.138	-0.010410381233629806
Challenge-056	8.138	-0.12415406744328816
Challenge-040	8.186	0.0642810146986248
Challenge-018	8.189	-0.1644416166049658
Challenge-027	8.428	-0.08344941837986575
Challenge-081	8.487	0.08849552809541938
Challenge-043	8.499	-0.13952462778535035
Challenge-008	8.649	-0.0040477746749285615
Challenge-051	8.72	-0.21342381278726297
Challenge-019	8.846	0.11925533498151913
Challenge-016	8.93	0.007198648976460831
Challenge-078	9.312	-0.07635414450101496
Challenge-028	9.737	-0.07282445182132014
Challenge-046	9.989	0.06219992765228577
Challenge-072	10.136	0.023843433791505886
Challenge-021	10.186	-0.05963412698782733
Challenge-063	10.262	0.12788454274154182
Challenge-055	10.378	0.16962421384491133
Challenge-042	10.562	0.13081107300327854
Challenge-065	10.665	-0.07561878207104211
Challenge-024	10.718	0.08582425875892191
Challenge-033	11.007	0.1973209632238535
Challenge-037	11.08	0.0673403289197303
Challenge-047	11.263	-0.04929392469629601
Challenge-066	11.651	-0.08034372102824738
Challenge-068	12.064	0.09144581154738785
Challenge-029	12.081	-0.06398526720853281
Challenge-059	12.1	-0.11393744148722451
Challenge-053	12.202	-0.04664508684704949
Challenge-012	12.225	0.10040100538240626
Challenge-004	12.398	-0.1110096287636333
Challenge-060	12.495	0.10999786424735242
Challenge-041	12.512	-0.06025171478501701
Challenge-057	12.689	0.08261807748797545
Challenge-026	12.826	0.09799860187127596
Challenge-003	12.918	0.06038940730034259
Challenge-064	13.097	0.055214622642338895
Challenge-011	13.447	0.12220074004535775
Challenge-030	14.355	0.07525809635085201
Challenge-069	14.761	0.044867917852293715
Challenge-035	23.195	-0.06804029783366339
