spectrum	rt	pref_value
Challenge-004	0.803	-0.4431876453524328
Challenge-019	1.964	-0.27434401362062566
Challenge-043	2.371	-0.39150550746129475
Challenge-044	2.379	0.05267847372892476
Challenge-072	3.705	-0.16788773239176003
Challenge-071	7.17	-0.09547337986998983
Challenge-066	7.247	-0.09691341105928863
Challenge-005	7.348	-0.22886187762405052
Challenge-064	7.722	-0.2763482950150351
Challenge-013	7.75	-0.15494180594431173
Challenge-035	8.138	-0.025658222939524578
Challenge-047	8.138	-0.16287568982337142
Challenge-024	8.186	0.11512129970910756
Challenge-033	8.189	-0.250101590596
Challenge-018	8.499	-0.1719817880915202
Challenge-026	8.649	0.029196974561228828
Challenge-031	8.72	-0.3373035303692973
Challenge-030	8.93	-0.008923309081152908
Challenge-078	9.737	-0.029023764900145466
Challenge-076	9.943	-0.053456449543008766
Challenge-021	9.968	-0.05714216420778939
Challenge-002	9.989	-0.020928224444899612
Challenge-039	10.136	0.012504734912032411
Challenge-032	10.327	-0.14025550253395647
Challenge-025	10.353	0.11420232303809108
Challenge-069	10.665	-0.15395323136647043
Challenge-015	10.718	0.13520815470484604
Challenge-045	10.829	-0.1452269174845
Challenge-070	10.874	0.07609941998086589
Challenge-081	11.08	0.041286731451783965
Challenge-016	11.207	0.22487935795470015
Challenge-011	11.262	-0.14082083424233405
Challenge-059	11.263	-0.03866488733055995
Challenge-049	12.064	0.14696710352957654
Challenge-067	12.1	-0.1537183240590263
Challenge-062	12.202	-0.014837176242841199
Challenge-001	12.301	-0.05222792465481607
Challenge-057	12.495	0.161148722228741
Challenge-012	12.512	-0.07984149160975074
Challenge-055	12.689	0.09600285202459613
Challenge-075	12.826	0.20009800573701142
Challenge-020	13.097	0.09839971741555953
Challenge-065	13.232	-0.12900233081716728
Challenge-003	13.298	0.05554453808288695
Challenge-077	13.447	0.24285672922003698
Challenge-051	14.274	0.08670672736431317
Challenge-050	14.355	-0.00878313461844904
Challenge-028	14.383	-0.00878313461844904
Challenge-042	14.761	0.11830163549112882
Challenge-038	23.195	-0.09656157103458884
